Source	Target	Weight	Type
0	3	6	Undirected
0	1	29	Undirected
0	5	5	Undirected
0	38	2	Undirected
0	48	1	Undirected
0	2	9	Undirected
0	46	2	Undirected
0	22	2	Undirected
0	19	2	Undirected
0	9	1	Undirected
0	29	2	Undirected
0	4	2	Undirected
0	33	2	Undirected
0	51	1	Undirected
0	7	1	Undirected
0	23	3	Undirected
0	15	1	Undirected
0	16	1	Undirected
1	3	95	Undirected
1	2	42	Undirected
1	17	21	Undirected
1	9	17	Undirected
1	35	20	Undirected
1	5	73	Undirected
1	32	4	Undirected
1	0	28	Undirected
1	38	10	Undirected
1	39	3	Undirected
1	29	12	Undirected
1	40	2	Undirected
1	41	1	Undirected
1	42	1	Undirected
1	30	6	Undirected
1	36	3	Undirected
1	45	1	Undirected
1	7	3	Undirected
1	22	6	Undirected
1	46	5	Undirected
1	4	7	Undirected
1	19	5	Undirected
1	31	3	Undirected
1	12	3	Undirected
1	48	3	Undirected
1	49	6	Undirected
1	50	1	Undirected
1	15	3	Undirected
1	16	3	Undirected
1	51	1	Undirected
1	33	9	Undirected
1	52	1	Undirected
1	20	1	Undirected
1	54	1	Undirected
1	59	1	Undirected
1	60	2	Undirected
1	56	2	Undirected
1	57	1	Undirected
1	23	2	Undirected
1	63	1	Undirected
1	65	2	Undirected
1	67	2	Undirected
2	3	35	Undirected
2	30	3	Undirected
2	1	42	Undirected
2	9	4	Undirected
2	5	2	Undirected
2	36	2	Undirected
2	19	5	Undirected
2	22	2	Undirected
2	17	5	Undirected
2	12	1	Undirected
2	16	2	Undirected
2	15	2	Undirected
2	7	1	Undirected
2	35	1	Undirected
2	11	1	Undirected
2	0	9	Undirected
2	46	1	Undirected
2	4	8	Undirected
2	33	8	Undirected
2	23	3	Undirected
2	8	1	Undirected
3	2	195	Undirected
3	18	3	Undirected
3	12	7	Undirected
3	30	7	Undirected
3	16	6	Undirected
3	15	4	Undirected
3	1	135	Undirected
3	9	9	Undirected
3	35	14	Undirected
3	0	15	Undirected
3	4	12	Undirected
3	29	2	Undirected
3	31	1	Undirected
3	5	13	Undirected
3	33	10	Undirected
3	17	13	Undirected
3	38	2	Undirected
3	39	1	Undirected
3	36	3	Undirected
3	45	1	Undirected
3	19	6	Undirected
3	22	3	Undirected
3	46	2	Undirected
3	11	2	Undirected
3	52	9	Undirected
3	32	4	Undirected
3	23	3	Undirected
3	63	1	Undirected
3	8	1	Undirected
4	3	4	Undirected
4	38	1	Undirected
4	1	7	Undirected
4	22	2	Undirected
4	46	1	Undirected
4	0	2	Undirected
4	2	8	Undirected
4	33	7	Undirected
4	5	1	Undirected
5	1	73	Undirected
5	2	3	Undirected
5	17	5	Undirected
5	3	10	Undirected
5	37	1	Undirected
5	36	1	Undirected
5	0	5	Undirected
5	29	4	Undirected
5	46	1	Undirected
5	9	4	Undirected
5	35	4	Undirected
5	19	2	Undirected
5	48	1	Undirected
5	49	2	Undirected
5	50	1	Undirected
5	65	1	Undirected
5	52	1	Undirected
5	4	1	Undirected
5	33	1	Undirected
5	54	1	Undirected
33	3	4	Undirected
33	17	14	Undirected
33	0	4	Undirected
33	2	16	Undirected
33	4	14	Undirected
33	1	18	Undirected
33	5	2	Undirected
7	1	3	Undirected
7	0	1	Undirected
8	2	1	Undirected
9	17	10	Undirected
9	35	6	Undirected
9	3	5	Undirected
9	1	18	Undirected
9	2	4	Undirected
9	30	1	Undirected
9	5	4	Undirected
9	0	1	Undirected
9	51	1	Undirected
9	46	1	Undirected
9	22	2	Undirected
9	32	1	Undirected
9	19	1	Undirected
10	11	2	Undirected
10	35	1	Undirected
10	12	1	Undirected
10	15	1	Undirected
11	10	2	Undirected
11	42	1	Undirected
11	41	1	Undirected
11	3	1	Undirected
11	2	1	Undirected
11	12	1	Undirected
11	15	1	Undirected
11	35	1	Undirected
12	3	6	Undirected
12	2	1	Undirected
12	1	3	Undirected
12	10	1	Undirected
12	15	1	Undirected
12	16	1	Undirected
14	35	1	Undirected
14	16	1	Undirected
15	30	3	Undirected
15	16	3	Undirected
15	3	2	Undirected
15	35	1	Undirected
15	2	2	Undirected
15	1	3	Undirected
15	10	1	Undirected
15	12	1	Undirected
15	11	1	Undirected
15	0	1	Undirected
16	15	3	Undirected
16	3	4	Undirected
16	14	1	Undirected
16	29	1	Undirected
16	2	2	Undirected
16	35	2	Undirected
16	1	3	Undirected
