Source	Target	Weight	Type
0	1	6	Undirected
0	2	11	Undirected
0	3	14	Undirected
0	10	6	Undirected
0	75	4	Undirected
0	9	1	Undirected
0	18	1	Undirected
0	6	3	Undirected
0	26	2	Undirected
0	29	2	Undirected
0	53	2	Undirected
0	98	1	Undirected
0	36	1	Undirected
0	16	2	Undirected
0	8	1	Undirected
0	81	1	Undirected
0	12	1	Undirected
1	0	6	Undirected
1	2	2	Undirected
1	3	1	Undirected
1	10	6	Undirected
1	45	1	Undirected
1	8	2	Undirected
1	29	2	Undirected
1	53	2	Undirected
1	26	1	Undirected
1	98	1	Undirected
1	6	3	Undirected
1	9	1	Undirected
1	85	1	Undirected
2	0	11	Undirected
2	1	2	Undirected
2	3	9	Undirected
2	10	10	Undirected
2	18	1	Undirected
2	6	3	Undirected
2	98	1	Undirected
2	8	1	Undirected
2	81	1	Undirected
2	16	1	Undirected
2	12	1	Undirected
3	0	14	Undirected
3	1	1	Undirected
3	2	9	Undirected
3	10	25	Undirected
3	9	9	Undirected
3	75	6	Undirected
3	76	1	Undirected
3	19	1	Undirected
3	22	1	Undirected
3	37	1	Undirected
3	6	8	Undirected
3	23	2	Undirected
3	42	2	Undirected
3	24	1	Undirected
3	16	5	Undirected
3	17	1	Undirected
3	18	1	Undirected
3	8	16	Undirected
3	102	1	Undirected
3	101	1	Undirected
3	46	1	Undirected
3	36	1	Undirected
3	12	2	Undirected
3	83	1	Undirected
3	7	1	Undirected
3	98	1	Undirected
3	14	1	Undirected
3	81	1	Undirected
4	26	11	Undirected
4	29	3	Undirected
4	53	1	Undirected
4	7	2	Undirected
4	27	3	Undirected
4	9	6	Undirected
4	10	4	Undirected
4	39	1	Undirected
4	16	2	Undirected
4	8	7	Undirected
4	12	3	Undirected
4	24	1	Undirected
4	6	1	Undirected
4	23	1	Undirected
4	36	1	Undirected
4	85	1	Undirected
5	8	1	Undirected
5	85	1	Undirected
5	86	2	Undirected
5	87	2	Undirected
5	7	1	Undirected
5	9	1	Undirected
5	6	1	Undirected
5	30	3	Undirected
6	42	4	Undirected
6	3	8	Undirected
6	11	5	Undirected
6	24	5	Undirected
6	16	11	Undirected
6	10	13	Undirected
6	8	94	Undirected
6	0	3	Undirected
6	2	3	Undirected
6	9	18	Undirected
6	97	1	Undirected
6	98	5	Undirected
6	77	1	Undirected
6	37	1	Undirected
6	7	13	Undirected
6	81	3	Undirected
6	12	3	Undirected
6	103	2	Undirected
6	104	2	Undirected
6	36	1	Undirected
6	105	2	Undirected
6	75	1	Undirected
6	29	2	Undirected
6	53	1	Undirected
6	106	2	Undirected
6	79	1	Undirected
6	107	1	Undirected
6	40	4	Undirected
6	1	3	Undirected
6	4	1	Undirected
6	23	2	Undirected
6	26	1	Undirected
6	60	1	Undirected
6	87	2	Undirected
6	30	3	Undirected
6	5	1	Undirected
6	88	1	Undirected
6	22	1	Undirected
6	91	2	Undirected
6	19	1	Undirected
6	93	4	Undirected
6	43	1	Undirected
6	44	1	Undirected
7	81	1	Undirected
7	10	6	Undirected
7	8	29	Undirected
7	6	13	Undirected
7	12	5	Undirected
7	45	2	Undirected
7	55	1	Undirected
7	9	9	Undirected
7	107	1	Undirected
7	53	2	Undirected
7	29	2	Undirected
7	26	2	Undirected
7	16	1	Undirected
7	36	2	Undirected
7	11	2	Undirected
7	40	2	Undirected
7	58	1	Undirected
7	4	2	Undirected
7	3	1	Undirected
7	83	1	Undirected
7	14	1	Undirected
7	87	1	Undirected
7	30	3	Undirected
7	5	1	Undirected
7	22	1	Undirected
7	23	1	Undirected
7	93	1	Undirected
8	10	95	Undirected
8	81	11	Undirected
8	9	42	Undirected
8	24	21	Undirected
8	77	3	Undirected
8	16	17	Undirected
8	6	92	Undirected
8	42	20	Undirected
8	12	73	Undirected
8	97	3	Undirected
8	39	4	Undirected
8	98	12	Undirected
8	7	28	Undirected
8	45	10	Undirected
8	1	2	Undirected
8	101	3	Undirected
8	3	15	Undirected
8	46	3	Undirected
8	102	4	Undirected
8	36	12	Undirected
8	103	11	Undirected
8	47	2	Undirected
8	104	4	Undirected
8	48	1	Undirected
8	49	1	Undirected
8	37	6	Undirected
8	105	11	Undirected
8	43	3	Undirected
8	52	1	Undirected
8	14	3	Undirected
8	75	1	Undirected
8	29	6	Undirected
8	53	5	Undirected
