ID	Name	Pinyin
0	唐三藏	tángsāncáng
1	唐僧	tángsēng
2	孙悟空	sūnwùkōng
3	悟空	wùkōng
4	猪悟能	zhūwùnéng
5	猪八戒	zhūbājiè
6	沙悟净	shāwùjìng
7	白龙马	báilóngmǎ
8	如来佛祖	rúláifózǔ
9	观音菩萨	guānyīnpúsà
10	玉皇大帝	yùhuángdàdì
11	太上老君	tàishànglǎojūn
12	太白金星	tàibáijīnxīng
13	须菩提祖师	xūpútízǔshī
14	二郎真君	èrlángzhēnjūn
15	托塔天王	tuōtǎtiānwáng
16	哪吒太子	nǎzhàtàizǐ
17	木叉	mùchā
18	混世魔王	hùnshìmówáng
19	牛魔王	níumówáng
20	铁扇公主	tiěshàngōngzhǔ
21	大鹏金翅雕	dàpéngjīnchìdiāo
22	红孩儿	hóngháiér
23	蜘蛛精	zhīzhūjīng
24	六耳猕猴	lìuěrmíhóu
25	蝎子精	hézǐjīng
26	寅将军	yínjiāngjūn
27	山君	shānjūn
28	处士	chùshì
29	心猿	xīnyuán
30	三太子	sāntàizǐ
31	乌巢禅师	wūcháoshànshī
32	黄风怪	huángfēngguài
33	沙悟净	shāwùjìng
34	骊山老母	líshānlǎomǔ
35	观音	guānyīn
36	文殊	wénshū
37	普贤	pǔxián
38	镇元子	zhènyuánzǐ
39	白骨夫人	báigǔfūrén
40	黄袍怪	huángpáoguài
41	金角大王	jīnjiǎodàwáng
42	银角大王	yínjiǎodàwáng
43	九尾狐狸	jǐuwěihúlí
44	七大王	qīdàwáng
45	狮猁王	shīlìwáng
46	圣婴大王	shèngyīngdàwáng
47	鼍龙	tuólóng
48	虎力大仙	hǔlìdàxiān
49	鹿力大仙	lùlìdàxiān
50	羊力大仙	yánglìdàxiān
51	蝎子精	hézǐjīng
52	六耳猕猴	lìuěrmíhóu
53	黄眉大王	huángméidàwáng
54	万圣龙王	wànshènglóngwáng
55	九头虫	jǐutóuchóng
56	十八公	shíbāgōng
57	孤直公	gūzhígōng
58	凌空子	língkōngzǐ
59	拂云叟	fúyúnsǒu
60	杏仙	xìngxiān
61	百眼魔君	bǎiyǎnmójūn
62	毛狮子怪	máoshīzǐguài
63	黄牙老象	huángyálǎoxiàng
64	云程万里鹏	yúnchéngwànlǐpéng
65	白鹿	báilù
66	白面狐狸	báimiànhúlí
67	九灵元圣	jǐulíngyuánshèng
