ID	Name	Pinyin
0	东胜神洲	dōngshèngshénzhōu
1	西牛贺洲	xīníuhèzhōu
2	傲来国	àoláiguó
3	花果山	huāguǒshān
4	火焰山	huǒyànshān
5	盘丝洞	pánsīdòng
6	西天	xītiān
7	唐三藏	tángsāncáng
8	唐僧	tángsēng
9	孙悟空	sūnwùkōng
10	悟空	wùkōng
11	猪悟能	zhūwùnéng
12	猪八戒	zhūbājiè
13	沙悟净	shāwùjìng
14	白龙马	báilóngmǎ
15	如来佛祖	rúláifózǔ
16	观音菩萨	guānyīnpúsà
17	玉皇大帝	yùhuángdàdì
18	太上老君	tàishànglǎojūn
19	太白金星	tàibáijīnxīng
20	须菩提祖师	xūpútízǔshī
21	二郎真君	èrlángzhēnjūn
22	托塔天王	tuōtǎtiānwáng
23	哪吒太子	nǎzhàtàizǐ
24	木叉	mùchā
25	混世魔王	hùnshìmówáng
26	牛魔王	níumówáng
27	铁扇公主	tiěshàngōngzhǔ
28	大鹏金翅雕	dàpéngjīnchìdiāo
29	红孩儿	hóngháiér
30	蜘蛛精	zhīzhūjīng
31	六耳猕猴	lìuěrmíhóu
32	蝎子精	hézǐjīng
33	寅将军	yínjiāngjūn
34	山君	shānjūn
35	处士	chùshì
36	心猿	xīnyuán
37	三太子	sāntàizǐ
38	乌巢禅师	wūcháoshànshī
39	黄风怪	huángfēngguài
40	沙悟净	shāwùjìng
41	骊山老母	líshānlǎomǔ
42	观音	guānyīn
43	文殊	wénshū
44	普贤	pǔxián
45	镇元子	zhènyuánzǐ
46	白骨夫人	báigǔfūrén
47	黄袍怪	huángpáoguài
48	金角大王	jīnjiǎodàwáng
49	银角大王	yínjiǎodàwáng
50	九尾狐狸	jǐuwěihúlí
51	七大王	qīdàwáng
52	狮猁王	shīlìwáng
53	圣婴大王	shèngyīngdàwáng
54	鼍龙	tuólóng
55	虎力大仙	hǔlìdàxiān
56	鹿力大仙	lùlìdàxiān
57	羊力大仙	yánglìdàxiān
58	蝎子精	hézǐjīng
59	六耳猕猴	lìuěrmíhóu
60	黄眉大王	huángméidàwáng
61	万圣龙王	wànshènglóngwáng
62	九头虫	jǐutóuchóng
63	十八公	shíbāgōng
64	孤直公	gūzhígōng
65	凌空子	língkōngzǐ
66	拂云叟	fúyúnsǒu
67	杏仙	xìngxiān
68	百眼魔君	bǎiyǎnmójūn
69	毛狮子怪	máoshīzǐguài
70	黄牙老象	huángyálǎoxiàng
71	云程万里鹏	yúnchéngwànlǐpéng
72	白鹿	báilù
73	白面狐狸	báimiànhúlí
74	九灵元圣	jǐulíngyuánshèng
75	敖广	áoguǎng
76	敖钦	áoqīn
77	敖闰	áorùn
78	敖顺	áoshùn
79	灵感大王	línggǎndàwáng
80	双叉岭	shuāngchālíng
81	两界山	liǎngjièshān
82	观音禅院	guānyīnshànyuàn
83	祭赛国	jìsàiguó
84	驼罗庄	tuóluōzhuāng
85	朱紫国	zhūzǐguó
86	盘丝岭	pánsīlíng
87	黄花观	huánghuāguān
88	比丘国	bǐqīuguó
89	灭法国	mièfǎguó
90	隐雾山	yǐnwùshān
91	凤仙郡	fèngxiānjùn
92	玉华县	yùhuáxiàn
93	金平府	jīnpíngfǔ
94	铜台府地灵县	tóngtáifǔdìlíngxiàn
95	布金禅寺	bùjīnshànsì
96	浮屠山	fútúshān
97	黄风岭	huángfēnglíng
98	流沙河	líushāhé
99	莫家庄	mòjiāzhuāng
100	宝象国	bǎoxiàngguó
101	白虎岭	báihǔlíng
102	黑松林	hēisōnglín
103	宝象国	bǎoxiàngguó
104	平顶山	píngdǐngshān
105	乌鸡国	wūjīguó
106	通天河	tōngtiānhé
107	子母河	zǐmǔhé
